Proteins
Q8N6Q3
P08174
Q58FF3
O43866
P61769
Q14697
P04179
P51659
P56182
P02458
Q13103
P43490
Q99798
Q15274
P02675
P04004
P32119
P02538
P07225
P31946
Q58FF8
Q6UX71
Q06033
P02743
P00736
P08185
P02652
P31146
P01008
Q92859
Q06830
P15311
Q9NZP8
P19320
Q9ULV4
Q16881
P07358
P05109
P04424
P05067
P03951
P41222
P31949
P00915
P10809
P80404
P09467
P11717
P11021
P43121
O95954
P09622
P48735
P12111
O95445
P01860
Q9UBT2
P04908
Q9UL12
P02790
P42765
P60174
P29350
P36871
Q99674
Q03591
P0DJI8
P23083
P29692
P30613
P00390
P62258
Q29960
P05155
P09972
P68104
Q12841
P28799
Q15631
Q01995
Q04917
Q01518
P30084
Q92506
P30740
P54868
Q99436
P07942
P01871
P01591
Q07954
P49327
P23526
P05060
Q99497
Q14508
P09601
O60812
P35555
O00469
P04899
P00740
P32456
P07602
P22692
P08519
P28070
P07195
P21399
Q9H299
O95154
P00918
P20930
P05543
P25815
P05121
Q08426
A5A3E0
P15144
P02655
P26927
P07738
P52209
P07814
P07339
Q14515
P05090
Q13790
P20851
P30086
P07327
P06748
P59665
P15531
P52888
P62158
Q13885
P15259
Q9UBX5
P25789
Q12805
Q92954
P00326
Q9P1U1
P08670
P06312
P02745
Q06323
P02753
P28065
O95678
Q15063
P01625
O14818
P20711
Q9NSB4
P05546
P07099
P05452
P05451
P07148
P11226
P30043
P54108
P00995
P05154
P05186
P52907
P30041
A6NHG4
P61916
P06703
P38117
P10451
P10124
P04632
P00441
P60953
P32929
Q09666
P63316
Q9Y2S2
Q13867
Q6ZMR3
Q15435
O60664
P07858
P08514
P49748
P00367
P13591
Q96HR9
P01876
Q96KP4
P60900
Q9BY43
P04040
Q15485
P31937
P14618
P37802
P49721
Q02325
Q8IZ83
P04792
Q06141
P42330
P12956
Q9BYE9
P19338
Q9BT78
Q15084
O75594
Q9BR76
Q6EMK4
P60891
P11586
P32754
Q9BWP8
Q9Y2T3
P09382
P07711
P07951
P13987
P03950
Q9UBR2
Q96CN7
P68431
P31150
P13716
P06276
P01857
P05976
P05165
P51148
P48637
Q6GPI1
P35580
P27105
Q9HC84
Q9BXR6
P55290
P02730
Q14117
P42126
P10768
O94788
P23378
P01598
P22105
Q96SB3
P26440
A6ND91
Q01581
P20160
P32455
P01011
P49773
P50502
P07451
P18669
Q13616
P28066
Q16822
A0M8Q6
Q9H2U2
P01130
P09960
P15151
P30453
Q9NPY3
P05783
Q9Y3D6
P05091
P02144
P17066
O43488
Q9H2M3
P25787
P01604
P07360
P08246
O95633
P60660
P00966
Q9UHG3
P35542
Q15848
Q16706
P28062
P17900
P51649
Q96QV6
P33121
Q58FF6
P06331
P62987
Q9UI17
Q9UBV8
P53396
P50225
Q9UK55
A0MZ66
P36980
O15145
P25774
P16083
P55884
Q9HDC9
Q02252
P08572
O14841
P45954
Q9ULA0
P12830
O43175
P62834
P02042
P19957
P35609
P20618
Q02487
P80108
P46782
Q16134
P54652
Q16610
P25311
Q9UL46
P17174
P01611
P55058
Q04828
P51857
P11142
Q9H4G4
P00167
P22891
P35858
Q9UJ70
O43707
Q9NZ08
Q86VP6
Q6XQN6
P01708
O60763
Q96KN2
P16219
P24298
Q99541
P09668
P02654
A8MT79
P01773
P80748
P27708
P02461
P02786
P62873
P07478
O60218
P01743
O00757
P08493
P01765
P00505
O95399
P11310
Q96PD5
P21980
P13861
O75891
P35443
Q68CK6
P49747
Q6IB77
B2RXH4
P09093
P02776
P14649
Q9H4A4
P52790
Q9HD89
Q9UHK6
P01763
P22792
P02763
P04350
P52758
P04217
Q8WWA0
O00499
P08195
P01771
Q96CX2
Q13228
P02746
P09486
P61604
P33778
O95210
P24158
Q9BXK5
Q4G0N4
P04745
O95479
Q96GK7
P36222
Q14651
P04259
P62491
Q14568
P01702
P50395
P22897
P28332
P02656
P01609
P19652
P60842
P61204
P35270
P61158
P02741
P53634
P05019
P05166
P09104
Q13126
P48507
P49419
P47756
P07384
P01742
P54819
Q14525
Q00610
P53999
P42025
Q9UHJ6
Q5XKE5
P16035
P61160
P10586
Q13740
P14151
P02775
P19105
O00187
P49908
P02008
Q12907
P30042
P22894
Q9HAV7
P30050
P04278
Q6P2I3
Q8N6C8
P09172
P01019
P15090
Q13098
Q16853
P04211
P01596
O14773
O15204
P26641
Q15323
P01593
P01344
Q9Y4L1
P03973
P15085
P06576
P22234
Q15166
P24534
P68363
P46926
P30048
O14786
Q6NVY1
P35914
P00480
P01781
P05388
Q8IUZ5
P01620
Q16627
Q9NQ79
P30443
Q9HB07
P02766
Q3SY69
P16109
P68366
P69891
P51687
Q9Y281
O15511
P53597
P01880
P01764
P27169
P07203
P01621
P01605
P21912
P29622
P04070
P09493
Q16762
P50053
Q05639
Q8IW45
P30486
Q96JD6
P14550
P00746
P01776
P30711
P36957
P01861
P01614
P04433
P22352
Q8N0X4
Q12905
P62136
P04180
Q99784
P78386
P17516
Q9UNW1
P07359
Q9NPH3
P14770
Q99627
P01033
P35030
P61457
Q8TAA3
Q99536
Q13361
P01612
Q9H4B7
P05387
Q10471
P00491
Q13177
P61586
P04156
P80188
P07108
P09417
P17858
P06753
P30044
P06732
P06311
Q96DC8
P30039
P01770
P0DJI9
P14324
Q14118
P07196
P30837
P01766
Q96G03
Q9H082
P59190
P20340
P48059
Q9NZL9
Q58FG1
Q14532
P17693
P54725
O43708
P0CG38
P04439
P04430
P06310
P01610
P27930
P23470
Q06278
Q562R1
P01825
P01780
O75083
Q8IVF2
Q8IWE2
Q13509
P01717
Q9BTY2
Q86TX2
Q9NUJ1
Q9GZT8
P13598
Q00266
P0C0S5
O14950
Q6UX06
P11166
Q92947
Q9H853
P01613
P12277
P10620
P84077
P60022
Q12931
P13727
P23528
Q9UBR1
Q9UGM3
Q9P0L0
P22626
P62937
P18428
P08709
Q9BY67
Q6YN16
P55072
Q93099
Q13637
P47755
P01601
P01619
Q6A162
Q15424
Q9NQR4
P06889
P07477
P16671
Q9UKY3
P06318
Q9P0Z9
P04207
P36776
P04066
Q7Z406
P05089
P25325
P52895
Q9Y4G6
Q8N1N4
P81172
Q9UKK9
P11217
Q92820
P13224
P17538
P47989
Q04760
P13473
A6NKZ8
Q9Y536
Q16836
P04434
P01767
P62277
Q9HBI1
O75828
Q92743
Q13822
P01602
Q9NR45
P40197
P61224
P07988
Q10588
Q9Y6U3
Q99714
P18462
P18827
P63241
Q86YB7
P09211
P12273
Q07654
P04431
Q9NZT1
P04206
Q13418
Q6S8J3
Q9Y315
Q92905
O75144
Q76LX8
P06309
P38606
P08567
O75340
Q53GG5
Q9NZK5
P08637
P15121
Q96AB3
Q03013
P50224
P19237
Q9BRX8
P01617
P01769
O96013
P05386
Q5D862
Q8WVM8
P30046
Q92626
P01616
P04220
P55083
P07333
P18136
P01275
P16104
O00194
Q6R327
Q15056
