child,parent
P01717,R-HSA-2871809
P01717,R-HSA-2871809
P01717,R-HSA-2871837
P01717,R-HSA-5690714
P01717,R-HSA-9664323
P01717,R-HSA-9664323
P01717,R-HSA-9664422
P01717,R-HSA-9664422
P01717,R-HSA-9679191
P01717,R-HSA-977606
P01717,R-HSA-983695
P01717,R-HSA-983695
P01742,R-HSA-166663
P01742,R-HSA-173623
P01742,R-HSA-198933
P01742,R-HSA-202733
P01742,R-HSA-2029481
P01742,R-HSA-2029481
P01742,R-HSA-2029482
P01742,R-HSA-2029485
P01742,R-HSA-2168880
P01742,R-HSA-2454202
P01742,R-HSA-2454202
P01742,R-HSA-2730905
P01742,R-HSA-2730905
P01742,R-HSA-2871796
P01742,R-HSA-2871809
P01742,R-HSA-2871809
P01742,R-HSA-2871837
P01742,R-HSA-5690714
P01742,R-HSA-9664323
P01742,R-HSA-9664323
P01742,R-HSA-9664422
P01742,R-HSA-9664422
P01742,R-HSA-9679191
P01742,R-HSA-977606
P01742,R-HSA-983695
P01742,R-HSA-983695
P01743,R-HSA-166663
P01743,R-HSA-173623
P01743,R-HSA-198933
P01743,R-HSA-202733
P01743,R-HSA-2029481
P01743,R-HSA-2029481
P01743,R-HSA-2029482
P01743,R-HSA-2029485
P01743,R-HSA-2168880
P01743,R-HSA-2454202
P01743,R-HSA-2454202
P01743,R-HSA-2730905
P01743,R-HSA-2730905
P01743,R-HSA-2871796
P01743,R-HSA-2871809
P01743,R-HSA-2871809
P01743,R-HSA-2871837
P01743,R-HSA-5690714
P01743,R-HSA-9664323
P01743,R-HSA-9664323
P01743,R-HSA-9664422
P01743,R-HSA-9664422
P01743,R-HSA-9679191
P01743,R-HSA-977606
P01743,R-HSA-983695
P01743,R-HSA-983695
P01763,R-HSA-166663
P01763,R-HSA-173623
P01763,R-HSA-198933
P01763,R-HSA-202733
P01763,R-HSA-2029481
P01763,R-HSA-2029481
P01763,R-HSA-2029482
P01763,R-HSA-2029485
P01763,R-HSA-2168880
P01763,R-HSA-2454202
P01763,R-HSA-2454202
P01763,R-HSA-2730905
P01763,R-HSA-2730905
P01763,R-HSA-2871796
P01763,R-HSA-2871809
P01763,R-HSA-2871809
P01763,R-HSA-2871837
P01763,R-HSA-5690714
P01763,R-HSA-9664323
P01763,R-HSA-9664323
P01763,R-HSA-9664422
P01763,R-HSA-9664422
P01763,R-HSA-9679191
P01763,R-HSA-977606
P01763,R-HSA-983695
P01763,R-HSA-983695
P01764,R-HSA-166663
P01764,R-HSA-173623
P01764,R-HSA-198933
P01764,R-HSA-202733
P01764,R-HSA-2029481
P01764,R-HSA-2029481
P01764,R-HSA-2029482
P01764,R-HSA-2029485
P01764,R-HSA-2168880
P01764,R-HSA-2454202
P01764,R-HSA-2454202
P01764,R-HSA-2730905
P01764,R-HSA-2730905
P01764,R-HSA-2871796
P01764,R-HSA-2871809
P01764,R-HSA-2871809
P01764,R-HSA-2871837
P01764,R-HSA-5690714
P01764,R-HSA-9664323
P01764,R-HSA-9664323
P01764,R-HSA-9664422
P01764,R-HSA-9664422
P01764,R-HSA-9679191
P01764,R-HSA-977606
P01764,R-HSA-983695
P01764,R-HSA-983695
P01766,R-HSA-166663
P01766,R-HSA-173623
P01766,R-HSA-198933
P01766,R-HSA-202733
P01766,R-HSA-2029481
P01766,R-HSA-2029481
P01766,R-HSA-2029482
P01766,R-HSA-2029485
P01766,R-HSA-2168880
P01766,R-HSA-2454202
P01766,R-HSA-2454202
P01766,R-HSA-2730905
P01766,R-HSA-2730905
P01766,R-HSA-2871796
P01766,R-HSA-2871809
P01766,R-HSA-2871809
P01766,R-HSA-2871837
P01766,R-HSA-5690714
P01766,R-HSA-9664323
P01766,R-HSA-9664323
P01766,R-HSA-9664422
P01766,R-HSA-9664422
P01766,R-HSA-9679191
P01766,R-HSA-977606
P01766,R-HSA-983695
P01766,R-HSA-983695
P01767,R-HSA-166663
P01767,R-HSA-173623
P01767,R-HSA-198933
P01767,R-HSA-202733
P01767,R-HSA-2029481
P01767,R-HSA-2029481
P01767,R-HSA-2029482
P01767,R-HSA-2029485
P01767,R-HSA-2168880
P01767,R-HSA-2454202
P01767,R-HSA-2454202
P01767,R-HSA-2730905
P01767,R-HSA-2730905
P01767,R-HSA-2871796
P01767,R-HSA-2871809
P01767,R-HSA-2871809
P01767,R-HSA-2871837
P01767,R-HSA-5690714
P01767,R-HSA-9664323
P01767,R-HSA-9664323
P01767,R-HSA-9664422
P01767,R-HSA-9664422
P01767,R-HSA-9679191
P01767,R-HSA-977606
P01767,R-HSA-983695
P01767,R-HSA-983695
